_id,content,img,imgs,newsclass,summary,title
563f33cc6261a10807d172535110db9c,猫咪的肢体语言，主要是由脸上的表情、耳朵的位置、尾巴的摆动组成的。                                                        当猫咪待在它以为安全的地方，她的身体肌肉线条和脸部表情都是放松的，尾巴的摆动也是缓慢有规律的。 当你抚摸它的头部、尾巴根部等地方，她会舒服的发出呼噜呼噜的声音。,cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/q1_1.jpg,"[""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/q1_1.jpg""]",0,猫咪肢体语言,喵星人的肢体语言
563f33cc6261a10807d172547c8331c3,"新手家庭适合养的猫咪品种：            1.中华田园猫 ""中华田园猫""是对中国本土家猫类的统称。其中又有狸花猫、橘猫(黄狸)、四川简州猫(四耳猫)、三花猫、白猫、黑猫(玄猫)，黑白花猫、黄猫、山东狮子猫等多个品种。经过CFA中国长城猫俱乐部历时六年的不懈努力，""中华田园猫""类中的""中国狸花猫""成为了我国目前唯一被世界认可的中国本土自然品种。                                                      2.英国短毛猫 英国短毛猫，体形圆胖，四肢粗短发达，毛短而密，头大脸圆，温柔平静，对人友善，极易饲养。大而圆的眼睛根据被毛不同而呈现各种颜色。作为一个古老的猫品种，其历史可追溯至古罗马时期的家猫，由于拥有悠久的育种历史，可以称得上是猫家族中的典范。英国短毛猫除了拥有固定而聚，代表性的遗传特征之外，又具有丰富的变异性，如背毛色眼睛颜色等。",cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/q2_1.jpg,"[""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/q2_1.jpg"",""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/q2.jpg""]",0,新手最适合养哪个品种的猫？,新手适合养的猫
563f33cc6261a10807d172554b7e1307,"  若您在校内偶遇流浪猫，切记人类的食物不要喂给流浪猫!                巧克力、葡萄制品、大葱、洋葱等食品对猫有毒，可能会引起急性肾衰竭，切不可以喂食!                                                                            火腿肠和牛奶也并不适合猫咪，会引起肠胃反应，造成腹泻等状况。  酸性的各类水果、香辛料制的肉类、乌贼等海产也均不适合猫咪食用。                                                                                                  猫常见的较合适的食物有猫粮、猫罐头、以及其它一些猫咪零食。",cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/q3.jpg,"[""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/q3_1.jpg"",""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/q3.jpg""]",0,猫咪能吃什么？,猫咪喂食提醒
563f33cc6261a10807d1725660ec88aa,猫咪面部护理小tips，针对鼻子、下吧、眼睛等不同部位有不同的方法。                                                              用一小片干净的纸巾或者棉签，轻轻擦拭掉猫咪眼睛和脸部的垢物，包括眼泪和眼垢，使皮肤和毛尽量的干燥。,cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/q4.jpg,"[""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/a4.jpg""]",0,面部篇,猫咪家庭护理一
563f33cc6261a10807d17257410cfcc1,猫咪耳朵护理小tips，针对耳垢、（外）耳炎、耳螨等不同问题有不同的方法。                                                      猫咪耳部的护理主要是清除耳朵上的污垢，也需要主人定期的为猫咪检查耳道内的卫生、健康状况，一般主人可以用75%的酒精棉球消毒外耳道，再用棉棒蘸取橄榄油或食用菜油，浸润干燥的耳垢，待其软化后，用镊子将耳垢小心地取出，不要将耳道的粘膜碰破，防止感染化脓。,cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/q5.jpg,"[""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/a5.jpg""]",0,耳朵篇,猫咪家庭护理二
563f33cc6261a10807d172582ad88643,"  一般来说，街头的流浪动物都对人抱有恐惧，特别是流浪猫，它们一见到人就会先跑为上。不过，也有一些不太矜持的流浪猫，不仅不怕人，还会主动黏上你，讨食技巧熟练得不行。                                                                         巴西一位记者在播报新闻的时候，就有一只猫咪突然跑到他的脚下，严重破坏新闻现场的严肃气氛，因为猫咪太可爱了，记者还不小心笑出了声。                                         记者阿图尔本来跟自己的摄影搭档站在警局前面，播报最近一件社会新闻。正当阿图尔讲到高潮，摄影师突然发现了一个黑色的身影缓缓进入镜头，当他拉近镜头之后，才发现居然是一只可爱的黑白猫。这只猫咪慢悠悠地走到阿图尔脚下，软绵绵地喵喵叫着，导致阿图尔思绪被打乱，还被它吓了一跳。好在不是直播，不过因为这只小猫咪，刚才录的片段算是报废了。猫咪见阿图尔不为所动，开始发起猛烈攻势，不停在他的脚边磨蹭，还发出埋怨的叫声：“摸朕！搞快点”。结果阿图尔只能暂时停工，弯下腰摸摸猫咪的头，手还没伸到，猫咪的头就自动凑过来，是有多饥渴呀！阿图尔摸完头又摸完下巴后，猫咪才心满意足，他与摄影师便打算换一个地方重新开始，没想到猫咪居然跟了上来。                                                                                         阿图尔一边走到一辆汽车后面，一边念着背好的新闻稿，这时镜头又钻出一个猫头，猫咪居然跳到了车上，这下子完全被猫咪抢走了风头。阿图尔没能忍住，笑得合不拢嘴。猫咪不停在镜头前忽上忽下，使得阿图尔完全集中不了注意力，只能继续撸猫，直到猫咪开心为止。后来调查发现，原来这只流浪猫总会跑到警局，人们时不时会给它一些猫粮吃，所以猫咪才这么黏人。看到这么可爱的猫咪，阿图尔顿时心动了，想将它带回家。然而当他跟家人商量的时候，却遭到了母亲的反对，她认为家里养一只狗狗就足够了。不过，一位亲戚表示愿意给猫咪一个家，阿图尔开心到立马去买了猫咪用品，并带猫咪去医院检查。虽然不能养猫咪，但以后阿图尔只要有空，都能去亲戚家看猫咪。                                                                  你们也遇到过黏人的猫咪吗？",cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/b1.jpg,"[""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/b1.jpg""]",1,猫咪闯进新闻播报现场，蹭记者腿求摸，记者逃走小猫还穷追不舍。,猫咪闯新闻播报现场
563f33cc6261a10807d1725927e813d6,最近关注疫情报道已经成为每天必须做的事，不知各位铲屎官们近来看新闻的频次是否也在不经意中增加了呢？                                                                                                近几日，细心的网友们就在向来严肃的央视新闻里发现了一些有趣的元素——猫叫声。接连几天，不管是《新闻1+1》还是《午间新闻》等多个节目都出现了“喵喵喵”的背景音，很多网友甚至以为自己出现了幻听。想必有些还没有发现的朋友们，已经准备去找来认真看一看了，希望3月6日、7日的这几期“猫闻1+1”、“午间猫闻”等节目会让你满意。                                                                  看来最近央视新闻收视率上升的背后，小猫咪的卖力“演唱”也是功不可没的，得加小鱼干！虽然小猫咪努力引起关注，但央视主持人们在工作中并没有受到影响，依旧从容淡定地播报新闻，也收获了大波好评。                 事后也了解到猫咪并不是员工内部养的，而是有流浪猫偷偷溜进了直播间。也有工作人员经常会给院子里的流浪猫喂食，央视善待流浪猫的举动也让很多朋友们感受到了温暖，也希望小流浪们能早日找到自己温暖的家。,cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/b2.jpg,"[""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/b2.jpg""]",1,猫咪也会播新闻？央视猫叫超有爱,猫猫“联播”
563f33cc6261a10807d1725a1b4624b5,领养代替购买，绝育代替流浪！                                                                 领养宠物主要可以通过在在线领养平台、宠物店、从其他送养者处领养、从宠物收容机构领养 这几个途径。          请谨慎购买或领养猫咪,cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/b3.jpg,"[""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/l1.jpg"",""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/l2.jpg"",""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/l3.jpg""]",1,领养代替购买，绝育代替流浪！,请善待猫猫
563f33cc6261a10807d1725b478a2c3b,"  摄影者，网名周小铭，国庆假期去到了一片拆迁地，好几栋旧房已被铲平现在这片地是一天变一个样了，摄影者表示感觉对这片地的拍摄是拍一天少一天也许很快便再也见不到这些猫。                                                   走进巷子看到这只白猫两只前爪搭在没了玻璃的门上像个等父母回家的小孩我突然心里一痛。之前有本周刊报道说流浪猫破坏城市的生态系统，可是我觉得人类不负责任的遗弃才是祸首。",cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/b4.jpg,"[""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/b4.jpg""]",1,在上海一处拆迁地拍到的猫咪,《拆迁地中的猫》
563f33cc6261a10807d1725c719d5ff6,根据猫咪眼睛、鼻子、口腔的具体情况进行判断。,cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/s3.jpg,"[""cloud://cloud1-7gavs1qz9e9c4e96.636c-cloud1-7gavs1qz9e9c4e96-1308660109/新闻/c1.jpg""]",2,眼睛、鼻子、口腔,猫咪生病时的警讯（一）
